Date,Type,Value,Limit
2020-01-07,VAR,2966.114800000002,2500.0
2020-01-08,VAR,2966.114800000002,2500.0
2020-01-09,VAR,2966.114800000002,2500.0
2020-01-10,VAR,2966.114800000002,2500.0
2020-01-13,VAR,2966.114800000002,2500.0
2020-01-14,VAR,2966.114800000002,2500.0
2020-01-15,VAR,2966.114800000002,2500.0
2020-01-16,VAR,2966.114800000002,2500.0
2020-01-17,VAR,2966.114800000002,2500.0
2020-01-21,VAR,2966.114800000002,2500.0
2020-01-22,VAR,2966.114800000002,2500.0
2020-01-23,VAR,2966.114800000002,2500.0
2020-01-24,VAR,2966.114800000002,2500.0
2020-01-27,VAR,2966.114800000002,2500.0
2020-01-28,VAR,2966.114800000002,2500.0
2020-01-29,VAR,2966.114800000002,2500.0
2020-01-30,VAR,2966.114800000002,2500.0
2020-01-31,VAR,2966.114800000002,2500.0
2020-02-03,VAR,2966.114800000002,2500.0
2020-02-04,VAR,2966.114800000002,2500.0
2020-02-05,VAR,2966.114800000002,2500.0
2020-02-06,VAR,2966.114800000002,2500.0
2020-02-07,VAR,2966.114800000002,2500.0
2020-02-10,VAR,2966.114800000002,2500.0
2020-02-11,VAR,2966.114800000002,2500.0
2020-02-12,VAR,2966.114800000002,2500.0
2020-02-13,VAR,2966.114800000002,2500.0
2020-02-14,VAR,2966.114800000002,2500.0
2020-02-18,VAR,2966.114800000002,2500.0
2020-02-19,VAR,2966.114800000002,2500.0
2020-02-20,VAR,2966.114800000002,2500.0
2020-02-21,VAR,2966.114800000002,2500.0
2020-02-24,VAR,3261.5440000000112,2500.0
2020-02-25,VAR,3520.822800000008,2500.0
2020-02-26,VAR,3520.822800000008,2500.0
2020-02-27,VAR,3748.476639999996,2500.0
2020-02-28,VAR,3748.476639999996,2500.0
2020-03-02,VAR,3748.476639999996,2500.0
2020-03-03,VAR,3759.1527599999963,2500.0
2020-03-04,VAR,3759.1527599999963,2500.0
2020-03-05,VAR,4064.457399999991,2500.0
2020-03-06,VAR,4064.457399999991,2500.0
2020-03-09,VAR,4319.469440000003,2500.0
2020-03-10,VAR,4319.469440000003,2500.0
2020-03-11,VAR,4996.16188905001,2500.0
2020-03-12,DRAWDOWN,0.25974761943952424,0.2
2020-03-12,VAR,5579.059745950002,2500.0
2020-03-13,DRAWDOWN,0.20533371852531784,0.2
2020-03-13,VAR,5579.059745950002,2500.0
2020-03-16,DRAWDOWN,0.2772512218494386,0.2
2020-03-16,VAR,7540.515359999996,2500.0
2020-03-17,DRAWDOWN,0.24906197506501124,0.2
2020-03-17,VAR,7540.515359999996,2500.0
2020-03-18,DRAWDOWN,0.2767161786235713,0.2
2020-03-18,VAR,7540.515359999996,2500.0
2020-03-19,DRAWDOWN,0.27594070954314676,0.2
2020-03-19,VAR,7540.515359999996,2500.0
2020-03-20,DRAWDOWN,0.29196847020405664,0.2
2020-03-20,VAR,7540.515359999996,2500.0
2020-03-23,DRAWDOWN,0.3004963447702146,0.2
2020-03-23,VAR,7540.515359999996,2500.0
2020-03-24,DRAWDOWN,0.2729435384940592,0.2
2020-03-24,VAR,7540.515359999996,2500.0
2020-03-25,DRAWDOWN,0.2686538412835878,0.2
2020-03-25,VAR,7540.515359999996,2500.0
2020-03-26,DRAWDOWN,0.2548515783048678,0.2
2020-03-26,VAR,7540.515359999996,2500.0
2020-03-27,DRAWDOWN,0.262110400823538,0.2
2020-03-27,VAR,7540.515359999996,2500.0
2020-03-30,DRAWDOWN,0.25690154094669054,0.2
2020-03-30,VAR,7540.515359999996,2500.0
2020-03-31,DRAWDOWN,0.25873055223796493,0.2
2020-03-31,VAR,7540.515359999996,2500.0
2020-04-01,DRAWDOWN,0.2632602100555711,0.2
2020-04-01,VAR,7540.515359999996,2500.0
2020-04-02,DRAWDOWN,0.26301435244010307,0.2
2020-04-02,VAR,7540.515359999996,2500.0
2020-04-03,DRAWDOWN,0.26310659432053857,0.2
2020-04-03,VAR,7540.515359999996,2500.0
2020-04-06,DRAWDOWN,0.26310659432053857,0.2
2020-04-06,VAR,7540.515359999996,2500.0
2020-04-07,DRAWDOWN,0.26310659432053857,0.2
2020-04-07,VAR,7540.515359999996,2500.0
2020-04-08,DRAWDOWN,0.26310659432053857,0.2
2020-04-08,VAR,7540.515359999996,2500.0
2020-04-09,DRAWDOWN,0.26310659432053857,0.2
2020-04-09,VAR,7540.515359999996,2500.0
2020-04-13,DRAWDOWN,0.26310659432053857,0.2
2020-04-13,VAR,7540.515359999996,2500.0
2020-04-14,DRAWDOWN,0.26310659432053857,0.2
2020-04-14,VAR,7540.515359999996,2500.0
2020-04-15,DRAWDOWN,0.26310659432053857,0.2
2020-04-15,VAR,7540.515359999996,2500.0
2020-04-16,DRAWDOWN,0.26310659432053857,0.2
2020-04-16,VAR,7540.515359999996,2500.0
2020-04-17,DRAWDOWN,0.26310659432053857,0.2
2020-04-17,VAR,7540.515359999996,2500.0
2020-04-20,DRAWDOWN,0.26310659432053857,0.2
2020-04-20,VAR,7540.515359999996,2500.0
2020-04-21,DRAWDOWN,0.26310659432053857,0.2
2020-04-21,VAR,7540.515359999996,2500.0
2020-04-22,DRAWDOWN,0.26310659432053857,0.2
2020-04-22,VAR,7540.515359999996,2500.0
2020-04-23,DRAWDOWN,0.26310659432053857,0.2
2020-04-23,VAR,7540.515359999996,2500.0
2020-04-24,DRAWDOWN,0.26310659432053857,0.2
2020-04-24,VAR,7540.515359999996,2500.0
2020-04-27,DRAWDOWN,0.26310659432053857,0.2
2020-04-27,VAR,7540.515359999996,2500.0
2020-04-28,DRAWDOWN,0.26310659432053857,0.2
2020-04-28,VAR,7540.515359999996,2500.0
2020-04-29,DRAWDOWN,0.26310659432053857,0.2
2020-04-29,VAR,7540.515359999996,2500.0
2020-04-30,DRAWDOWN,0.26310659432053857,0.2
2020-04-30,VAR,7540.515359999996,2500.0
2020-05-01,DRAWDOWN,0.26310659432053857,0.2
2020-05-01,VAR,7540.515359999996,2500.0
2020-05-04,DRAWDOWN,0.26310659432053857,0.2
2020-05-04,VAR,7540.515359999996,2500.0
2020-05-05,DRAWDOWN,0.26310659432053857,0.2
2020-05-05,VAR,7540.515359999996,2500.0
2020-05-06,DRAWDOWN,0.26310659432053857,0.2
2020-05-06,VAR,7540.515359999996,2500.0
2020-05-07,DRAWDOWN,0.26310659432053857,0.2
2020-05-07,VAR,7540.515359999996,2500.0
2020-05-08,DRAWDOWN,0.26310659432053857,0.2
2020-05-08,VAR,7540.515359999996,2500.0
2020-05-11,DRAWDOWN,0.26310659432053857,0.2
2020-05-11,VAR,7540.515359999996,2500.0
2020-05-12,DRAWDOWN,0.26310659432053857,0.2
2020-05-12,VAR,7540.515359999996,2500.0
2020-05-13,DRAWDOWN,0.26310659432053857,0.2
2020-05-13,VAR,7540.515359999996,2500.0
2020-05-14,DRAWDOWN,0.26310659432053857,0.2
2020-05-14,VAR,7540.515359999996,2500.0
2020-05-15,DRAWDOWN,0.26310659432053857,0.2
2020-05-15,VAR,7540.515359999996,2500.0
2020-05-18,DRAWDOWN,0.26310659432053857,0.2
2020-05-18,VAR,7540.515359999996,2500.0
2020-05-19,DRAWDOWN,0.26310659432053857,0.2
2020-05-19,VAR,7540.515359999996,2500.0
2020-05-20,DRAWDOWN,0.26310659432053857,0.2
2020-05-20,VAR,7540.515359999996,2500.0
